epoch,acc,loss,val_acc,val_loss
0,0.27830993765073325,1.8368869452413552,0.27876846507029734,2.0585694487262947
1,0.3492632972249052,1.678581040332989,0.38645863216853005,1.6314703663367354
2,0.3937092897707967,1.5742045373036997,0.39370299035599715,1.6098943379437503
3,0.4169424222410815,1.5154395440540873,0.46586794068626325,1.4213813933930246
4,0.4387125988386779,1.4652062819425853,0.48718307068061284,1.340067033570568
5,0.45177470480055765,1.4282288359700461,0.5057119088759658,1.3498761348009076
6,0.4630603643477517,1.4046198473259375,0.5140707837124494,1.282370909473447
7,0.4754258246584419,1.3734641067244848,0.5105879192699061,1.2545790054728208
8,0.4816608032334739,1.3580393970122702,0.5296740159599952,1.2499096676516281
9,0.4893935699627157,1.3413100162744647,0.5366397444195121,1.2404269444914242
10,0.49566338082549755,1.324678580939257,0.5484814835117036,1.1884401757981111
11,0.4995297641859661,1.3105789359998021,0.5483421687504879,1.1983492485255078
12,0.5056950782026267,1.3009712328594087,0.5429089004223179,1.2126805299722274
13,0.509178306454941,1.297515489048642,0.5551685826148652,1.1826649890259202
14,0.5153436204716015,1.2795797099455584,0.5480635396743857,1.177676864185309
15,0.5180953707938002,1.2738717927417518,0.5589300763099663,1.183202361802714
16,0.5196976557884219,1.265794973861063,0.5668710071015371,1.141385948258992
17,0.5224842383931799,1.2547587765775017,0.5599052785382227,1.1468867416682766
18,0.5239820265463516,1.2493983662495098,0.5448593046712357,1.1651977772839257
19,0.5265596154526386,1.244618915922735,0.5502925729350514,1.186161180140747
20,0.5309136507715351,1.2331015561963952,0.5695179837033688,1.1383338698421341
21,0.5294506949061132,1.2394825963915201,0.55739761656267,1.1773916013657166
22,0.5309136507715351,1.2333922806468445,0.5632488281261326,1.1408813114265823
23,0.5359991640293709,1.2231281719477167,0.5534968079298975,1.162121152530709
24,0.5349890278351461,1.2262609088124807,0.5645026588284661,1.1277041547612814
25,0.5384025915238986,1.2210246339093107,0.5632488281676516,1.1462677032187245
26,0.5364868159852035,1.2181672455790382,0.5718863320387184,1.121113070154728
27,0.5412240064112162,1.2167523573208032,0.5654778615964692,1.1213974779075768
28,0.5417813229311297,1.2127869403816125,0.5813597227851804,1.1111151463816378
29,0.5426521299982309,1.2074896233255137,0.5748119379138674,1.1157323283460703
30,0.5412240064132923,1.2129140715933073,0.5771802856139766,1.111289869914001
31,0.5383329269608558,1.209878329843051,0.5704931860042834,1.1035336579543098
